property_type,neighborhood,city,price,sq_m_built,n_bedrooms,bathrooms,floor,year_built,exterior,lift,terrace,balcony,second_hand,needs_renovating,parking,swimming_pool,garden,air_conditioning,heating,price_cheap_city,price_cheap_neigh,price_cheap_property,log_price
Flat / apartment,El Raval,Barcelona,530000.0,80,2,1,3,1912.0,1,1,1,1,1,0,0,0,0,1,1,3.086356414343004,3.0609000108096422,2.0306348219860992,13.180632285528304
Flat / apartment,El Raval,Barcelona,165000.0,58,2,1,3,1850.0,1,0,0,1,1,0,0,0,0,0,0,3.086356414343004,3.0609000108096422,2.0306348219860992,12.013700752882718
Flat / apartment,Ciutat Vella,Barcelona,430000.0,155,3,2,1,2003.0,1,1,1,1,1,0,0,0,0,1,1,3.086356414343004,5.078603488027523,2.0306348219860992,12.971540487669746
Flat / apartment,El Raval,Barcelona,279999.0,89,2,2,3,1920.0,1,0,0,1,1,0,0,0,0,1,1,3.086356414343004,3.0609000108096422,2.0306348219860992,12.542541310716436
Flat / apartment,El Raval,Barcelona,230000.0,70,2,2,1,1900.0,1,1,0,1,1,0,0,0,0,1,0,3.086356414343004,3.0609000108096422,2.0306348219860992,12.345834587905332
Flat / apartment,Ciutat Vella,Barcelona,310000.0,73,2,1,4,1905.485436893204,1,1,0,1,1,0,0,0,0,1,1,3.086356414343004,5.078603488027523,2.0306348219860992,12.644327576461327
Flat / apartment,Ciutat Vella,Barcelona,335000.0,149,4,2,0,1900.0,1,0,0,0,1,0,0,0,0,0,0,3.086356414343004,5.078603488027523,2.0306348219860992,12.721885810807205
Flat / apartment,Ciutat Vella,Barcelona,127000.0,33,2,1,5,1819.0,1,0,0,1,1,0,0,0,0,0,1,3.086356414343004,5.078603488027523,2.0306348219860992,11.751942365440728
Flat / apartment,El Raval,Barcelona,649000.0,118,3,2,3,1860.0,1,1,0,1,1,0,0,0,0,1,1,3.086356414343004,3.0609000108096422,2.0306348219860992,13.383187995686226
Flat / apartment,El Raval,Barcelona,138500.0,50,2,2,1,1900.0,0,0,0,1,1,1,0,0,0,0,0,3.086356414343004,3.0609000108096422,2.0306348219860992,11.83862560460953
Flat / apartment,El Raval,Barcelona,330000.0,54,0,1,1,1900.0,1,1,1,1,1,0,0,0,0,1,1,3.086356414343004,3.0609000108096422,1.0,12.706847933442663
Flat / apartment,El Raval,Barcelona,450000.0,110,2,2,1,1850.0,1,0,1,0,1,0,0,0,0,1,1,3.086356414343004,3.0609000108096422,2.0306348219860992,13.017002861746503
Flat / apartment,El Raval,Barcelona,225000.0,33,1,1,2,1900.0,1,0,0,1,1,0,0,0,0,1,1,3.086356414343004,3.0609000108096422,2.0306348219860992,12.323855681186558
Flat / apartment,El Raval,Barcelona,350000.0,75,3,2,5,1970.0,1,1,0,1,1,0,0,0,0,1,1,3.086356414343004,3.0609000108096422,2.0306348219860992,12.765688433465597
Flat / apartment,El Raval,Barcelona,199000.0,57,1,1,2,2001.0,0,1,0,0,1,0,0,0,0,0,1,3.086356414343004,3.0609000108096422,2.0306348219860992,12.201060103706627
Flat / apartment,Ciutat Vella,Barcelona,120500.0,54,3,1,3,1905.485436893204,0,0,0,0,1,0,0,0,0,0,1,3.086356414343004,5.078603488027523,2.0306348219860992,11.699405031912846
Flat / apartment,El Raval,Barcelona,180000.0,70,2,1,4,1850.0,1,0,0,1,1,1,0,0,0,0,0,3.086356414343004,3.0609000108096422,2.0306348219860992,12.100712129872347
Flat / apartment,Ciutat Vella,Barcelona,448000.0,56,1,1,0,1905.485436893204,0,1,1,0,1,0,0,0,0,1,1,3.086356414343004,5.078603488027523,2.0306348219860992,13.012548511397124
Flat / apartment,El Raval,Barcelona,199900.0,40,1,1,2,1850.0,1,1,0,1,1,0,0,0,0,0,0,3.086356414343004,3.0609000108096422,2.0306348219860992,12.205572520488492
Penthouse,El Raval,Barcelona,415000.0,69,2,1,5,1900.0,1,0,1,0,1,0,0,0,0,1,0,3.086356414343004,3.0609000108096422,3.030579199328625,12.936033799212836
Flat / apartment,El Raval,Barcelona,190000.0,73,4,1,1,1911.8142857142857,1,0,0,0,1,0,0,0,0,0,1,3.086356414343004,3.0609000108096422,2.0306348219860992,12.154779351142624
Flat / apartment,El Raval,Barcelona,155000.0,41,2,1,4,1900.0,1,0,0,1,1,0,0,0,0,0,1,3.086356414343004,3.0609000108096422,2.0306348219860992,11.951180395901384
