property_type,neighborhood,city,price,sq_m_built,n_bedrooms,bathrooms,floor,year_built,exterior,lift,terrace,balcony,second_hand,needs_renovating,parking,swimming_pool,garden,air_conditioning,heating,price_cheap_city,price_cheap_neigh,price_cheap_property
Flat / apartment,El Raval,Barcelona,530000.0,80,2,1,3,1912.0,1,1,1,1,1,0,0,0,0,1,1,3.086356414343004,3.0609000108096422,2.0306348219860992
Flat / apartment,El Raval,Barcelona,165000.0,58,2,1,3,1850.0,1,0,0,1,1,0,0,0,0,0,0,3.086356414343004,3.0609000108096422,2.0306348219860992
Flat / apartment,Ciutat Vella,Barcelona,430000.0,155,3,2,1,2003.0,1,1,1,1,1,0,0,0,0,1,1,3.086356414343004,5.078603488027523,2.0306348219860992
Flat / apartment,El Raval,Barcelona,279999.0,89,2,2,3,1920.0,1,0,0,1,1,0,0,0,0,1,1,3.086356414343004,3.0609000108096422,2.0306348219860992
Flat / apartment,El Raval,Barcelona,230000.0,70,2,2,1,1900.0,1,1,0,1,1,0,0,0,0,1,0,3.086356414343004,3.0609000108096422,2.0306348219860992
Flat / apartment,Ciutat Vella,Barcelona,310000.0,73,2,1,4,1905.485436893204,1,1,0,1,1,0,0,0,0,1,1,3.086356414343004,5.078603488027523,2.0306348219860992
Flat / apartment,Ciutat Vella,Barcelona,335000.0,149,4,2,0,1900.0,1,0,0,0,1,0,0,0,0,0,0,3.086356414343004,5.078603488027523,2.0306348219860992
Flat / apartment,Ciutat Vella,Barcelona,127000.0,33,2,1,5,1819.0,1,0,0,1,1,0,0,0,0,0,1,3.086356414343004,5.078603488027523,2.0306348219860992
Flat / apartment,El Raval,Barcelona,649000.0,118,3,2,3,1860.0,1,1,0,1,1,0,0,0,0,1,1,3.086356414343004,3.0609000108096422,2.0306348219860992
Flat / apartment,El Raval,Barcelona,138500.0,50,2,2,1,1900.0,0,0,0,1,1,1,0,0,0,0,0,3.086356414343004,3.0609000108096422,2.0306348219860992
Studio flat,El Raval,Barcelona,330000.0,54,0,1,1,1900.0,1,1,1,1,1,0,0,0,0,1,1,3.086356414343004,3.0609000108096422,1.0
Flat / apartment,El Raval,Barcelona,450000.0,110,2,2,1,1850.0,1,0,1,0,1,0,0,0,0,1,1,3.086356414343004,3.0609000108096422,2.0306348219860992
Flat / apartment,El Raval,Barcelona,225000.0,33,1,1,2,1900.0,1,0,0,1,1,0,0,0,0,1,1,3.086356414343004,3.0609000108096422,2.0306348219860992
Flat / apartment,El Raval,Barcelona,1350000.0,224,4,3,1,1910.0,1,0,1,1,1,0,0,0,0,1,1,3.086356414343004,3.0609000108096422,2.0306348219860992
Flat / apartment,El Raval,Barcelona,350000.0,75,3,2,5,1970.0,1,1,0,1,1,0,0,0,0,1,1,3.086356414343004,3.0609000108096422,2.0306348219860992
Flat / apartment,El Raval,Barcelona,199000.0,57,1,1,2,2001.0,0,1,0,0,1,0,0,0,0,0,1,3.086356414343004,3.0609000108096422,2.0306348219860992
