property_type,neighborhood,city,price,sq_m_built,n_bedrooms,bathrooms,floor,year_built,exterior,lift,terrace,balcony,second_hand,needs_renovating,parking,swimming_pool,garden,air_conditioning,heating,price_cheap_city,price_cheap_neigh,price_cheap_property,log_price
Flat / apartment,El Raval,5,530000.0,80,2,1,3,1912.0,1,1,1,1,1,0,0,0,0,1,1,3.086356414343004,3.0609000108096422,2.0306348219860992,13.180632285528304
Flat / apartment,El Raval,5,165000.0,58,2,1,3,1850.0,1,0,0,1,1,0,0,0,0,0,0,3.086356414343004,3.0609000108096422,2.0306348219860992,12.013700752882718
Flat / apartment,Ciutat Vella,5,430000.0,155,3,2,1,2003.0,1,1,1,1,1,0,0,0,0,1,1,3.086356414343004,5.078603488027523,2.0306348219860992,12.971540487669746
Flat / apartment,El Raval,5,279999.0,89,2,2,3,1920.0,1,0,0,1,1,0,0,0,0,1,1,3.086356414343004,3.0609000108096422,2.0306348219860992,12.542541310716437
Flat / apartment,El Raval,5,230000.0,70,2,2,1,1900.0,1,1,0,1,1,0,0,0,0,1,0,3.086356414343004,3.0609000108096422,2.0306348219860992,12.345834587905333
Flat / apartment,Ciutat Vella,5,310000.0,73,2,1,4,1905.485436893204,1,1,0,1,1,0,0,0,0,1,1,3.086356414343004,5.078603488027523,2.0306348219860992,12.644327576461329
Flat / apartment,Ciutat Vella,5,335000.0,149,4,2,0,1900.0,1,0,0,0,1,0,0,0,0,0,0,3.086356414343004,5.078603488027523,2.0306348219860992,12.721885810807203
Flat / apartment,Ciutat Vella,5,127000.0,33,2,1,5,1819.0,1,0,0,1,1,0,0,0,0,0,1,3.086356414343004,5.078603488027523,2.0306348219860992,11.751942365440728
Flat / apartment,El Raval,5,649000.0,118,3,2,3,1860.0,1,1,0,1,1,0,0,0,0,1,1,3.086356414343004,3.0609000108096422,2.0306348219860992,13.383187995686226
Flat / apartment,El Raval,5,138500.0,50,2,2,1,1900.0,0,0,0,1,1,1,0,0,0,0,0,3.086356414343004,3.0609000108096422,2.0306348219860992,11.83862560460953
Studio flat,El Raval,5,330000.0,54,0,1,1,1900.0,1,1,1,1,1,0,0,0,0,1,1,3.086356414343004,3.0609000108096422,1.0,12.706847933442663
Flat / apartment,El Raval,5,450000.0,110,2,2,1,1850.0,1,0,1,0,1,0,0,0,0,1,1,3.086356414343004,3.0609000108096422,2.0306348219860992,13.017002861746503
Flat / apartment,El Raval,5,225000.0,33,1,1,2,1900.0,1,0,0,1,1,0,0,0,0,1,1,3.086356414343004,3.0609000108096422,2.0306348219860992,12.323855681186558
Flat / apartment,El Raval,5,1350000.0,224,4,3,1,1910.0,1,0,1,1,1,0,0,0,0,1,1,3.086356414343004,3.0609000108096422,2.0306348219860992,14.115615150414612
Flat / apartment,El Raval,5,350000.0,75,3,2,5,1970.0,1,1,0,1,1,0,0,0,0,1,1,3.086356414343004,3.0609000108096422,2.0306348219860992,12.765688433465597
Flat / apartment,El Raval,5,199000.0,57,1,1,2,2001.0,0,1,0,0,1,0,0,0,0,0,1,3.086356414343004,3.0609000108096422,2.0306348219860992,12.201060103706629
Flat / apartment,Ciutat Vella,5,120500.0,54,3,1,3,1905.485436893204,0,0,0,0,1,0,0,0,0,0,1,3.086356414343004,5.078603488027523,2.0306348219860992,11.699405031912846
Flat / apartment,El Raval,5,180000.0,70,2,1,4,1850.0,1,0,0,1,1,1,0,0,0,0,0,3.086356414343004,3.0609000108096422,2.0306348219860992,12.100712129872347
Flat / apartment,Ciutat Vella,5,448000.0,56,1,1,0,1905.485436893204,0,1,1,0,1,0,0,0,0,1,1,3.086356414343004,5.078603488027523,2.0306348219860992,13.012548511397123
Flat / apartment,El Raval,5,199900.0,40,1,1,2,1850.0,1,1,0,1,1,0,0,0,0,0,0,3.086356414343004,3.0609000108096422,2.0306348219860992,12.205572520488492
Penthouse,El Raval,5,415000.0,69,2,1,5,1900.0,1,0,1,0,1,0,0,0,0,1,0,3.086356414343004,3.0609000108096422,3.0305791993286255,12.936033799212835
